city,country,lat,lon,year,month,t2m,precip
Tandil,AR,-37.32,-59.13,2003,7,5.3,2.42
Tandil,AR,-37.32,-59.13,2003,8,6.77,0.73
Tandil,AR,-37.32,-59.13,2003,9,9.76,1.65
Tandil,AR,-37.32,-59.13,2003,10,14.06,3.51
Tandil,AR,-37.32,-59.13,2003,11,15.86,4.05
Tandil,AR,-37.32,-59.13,2003,12,18.02,3.33
Tandil,AR,-37.32,-59.13,2003,13,13.3,2.44
Tandil,AR,-37.32,-59.13,2004,1,22.49,2.41
Tandil,AR,-37.32,-59.13,2004,2,19.32,2.21
Tandil,AR,-37.32,-59.13,2004,3,20.21,1.51
Tandil,AR,-37.32,-59.13,2004,4,14.51,4.59
Tandil,AR,-37.32,-59.13,2004,5,8.07,0.21
Tandil,AR,-37.32,-59.13,2004,6,8.01,0.9
Tandil,AR,-37.32,-59.13,2004,7,6.6,2.79
Tandil,AR,-37.32,-59.13,2004,8,7.94,2.55
Tandil,AR,-37.32,-59.13,2004,9,10.18,1.22
Tandil,AR,-37.32,-59.13,2004,10,12.81,2.07
Tandil,AR,-37.32,-59.13,2004,11,15.86,2.48
Tandil,AR,-37.32,-59.13,2004,12,19.92,2.77
Tandil,AR,-37.32,-59.13,2004,13,13.82,2.14
Tandil,AR,-37.32,-59.13,2005,1,21.57,1.99
Tandil,AR,-37.32,-59.13,2005,2,20.87,6.04
Tandil,AR,-37.32,-59.13,2005,3,17.3,3.05
Tandil,AR,-37.32,-59.13,2005,4,12.66,0.15
Tandil,AR,-37.32,-59.13,2005,5,9.79,0.42
Tandil,AR,-37.32,-59.13,2005,6,7.93,0.94
Tandil,AR,-37.32,-59.13,2005,7,6.93,1.26
Tandil,AR,-37.32,-59.13,2005,8,7.59,2.57
Tandil,AR,-37.32,-59.13,2005,9,9.77,1.31
Tandil,AR,-37.32,-59.13,2005,10,12.55,1.64
Tandil,AR,-37.32,-59.13,2005,11,17.76,2.81
Tandil,AR,-37.32,-59.13,2005,12,18.05,1.74
Tandil,AR,-37.32,-59.13,2005,13,13.52,1.97
Tandil,AR,-37.32,-59.13,2006,1,19.88,5.46
Tandil,AR,-37.32,-59.13,2006,2,19.8,4.22
Tandil,AR,-37.32,-59.13,2006,3,16.86,0.64
Tandil,AR,-37.32,-59.13,2006,4,14.23,2.18
Tandil,AR,-37.32,-59.13,2006,5,9.02,0.07
Tandil,AR,-37.32,-59.13,2006,6,7.28,0.93
Tandil,AR,-37.32,-59.13,2006,7,8.2,1.76
Tandil,AR,-37.32,-59.13,2006,8,7.32,0.08
Tandil,AR,-37.32,-59.13,2006,9,10.3,1.38
Tandil,AR,-37.32,-59.13,2006,10,14.27,4.52
Tandil,AR,-37.32,-59.13,2006,11,17.33,0.46
Tandil,AR,-37.32,-59.13,2006,12,21.45,3.16
Tandil,AR,-37.32,-59.13,2006,13,13.8,2.06
Tandil,AR,-37.32,-59.13,2007,1,21.68,1.74
Tandil,AR,-37.32,-59.13,2007,2,20.97,3.33
Tandil,AR,-37.32,-59.13,2007,3,17.55,3.29
Tandil,AR,-37.32,-59.13,2007,4,13.94,3.39
Tandil,AR,-37.32,-59.13,2007,5,7.91,1.26
Tandil,AR,-37.32,-59.13,2007,6,4.92,0.35
Tandil,AR,-37.32,-59.13,2007,7,3.51,0.44
Tandil,AR,-37.32,-59.13,2007,8,5.32,0.3
Tandil,AR,-37.32,-59.13,2007,9,11.44,4.43
Tandil,AR,-37.32,-59.13,2007,10,14.59,3.08
Tandil,AR,-37.32,-59.13,2007,11,15.41,0.86
Tandil,AR,-37.32,-59.13,2007,12,20.18,1.0
Tandil,AR,-37.32,-59.13,2007,13,13.07,1.94
Tandil,AR,-37.32,-59.13,2008,1,22.1,2.14
Tandil,AR,-37.32,-59.13,2008,2,21.39,2.95
Tandil,AR,-37.32,-59.13,2008,3,17.2,4.03
Tandil,AR,-37.32,-59.13,2008,4,13.68,0.31
Tandil,AR,-37.32,-59.13,2008,5,10.1,0.53
Tandil,AR,-37.32,-59.13,2008,6,6.5,0.74
Tandil,AR,-37.32,-59.13,2008,7,8.0,1.65
Tandil,AR,-37.32,-59.13,2008,8,6.92,1.36
Tandil,AR,-37.32,-59.13,2008,9,10.41,0.85
Tandil,AR,-37.32,-59.13,2008,10,13.46,1.99
Tandil,AR,-37.32,-59.13,2008,11,19.87,1.59
Tandil,AR,-37.32,-59.13,2008,12,21.28,1.22
Tandil,AR,-37.32,-59.13,2008,13,14.22,1.61
Tandil,AR,-37.32,-59.13,2009,1,22.74,1.15
Tandil,AR,-37.32,-59.13,2009,2,22.21,1.4
Tandil,AR,-37.32,-59.13,2009,3,19.87,2.39
Tandil,AR,-37.32,-59.13,2009,4,14.36,1.63
Tandil,AR,-37.32,-59.13,2009,5,10.64,2.05
Tandil,AR,-37.32,-59.13,2009,6,6.09,1.38
Tandil,AR,-37.32,-59.13,2009,7,5.05,1.36
Tandil,AR,-37.32,-59.13,2009,8,9.77,0.28
Tandil,AR,-37.32,-59.13,2009,9,8.63,2.04
Tandil,AR,-37.32,-59.13,2009,10,13.31,1.15
Tandil,AR,-37.32,-59.13,2009,11,17.08,3.67
Tandil,AR,-37.32,-59.13,2009,12,19.2,3.57
Tandil,AR,-37.32,-59.13,2009,13,14.04,1.84
Tandil,AR,-37.32,-59.13,2010,1,23.15,1.83
Tandil,AR,-37.32,-59.13,2010,2,19.58,4.88
Tandil,AR,-37.32,-59.13,2010,3,17.86,4.4
Tandil,AR,-37.32,-59.13,2010,4,12.22,1.18
Tandil,AR,-37.32,-59.13,2010,5,10.78,1.7
Tandil,AR,-37.32,-59.13,2010,6,6.9,1.65
Tandil,AR,-37.32,-59.13,2010,7,5.39,2.45
Tandil,AR,-37.32,-59.13,2010,8,6.57,0.82
Tandil,AR,-37.32,-59.13,2010,9,9.67,3.17
Tandil,AR,-37.32,-59.13,2010,10,12.78,2.16
Tandil,AR,-37.32,-59.13,2010,11,15.5,4.21
Tandil,AR,-37.32,-59.13,2010,12,21.25,1.46
Tandil,AR,-37.32,-59.13,2010,13,13.45,2.47
Tandil,AR,-37.32,-59.13,2011,1,21.84,6.4
Tandil,AR,-37.32,-59.13,2011,2,19.34,2.02
Tandil,AR,-37.32,-59.13,2011,3,17.93,1.34
Tandil,AR,-37.32,-59.13,2011,4,14.05,2.21
Tandil,AR,-37.32,-59.13,2011,5,9.85,0.72
Tandil,AR,-37.32,-59.13,2011,6,6.44,1.74
Tandil,AR,-37.32,-59.13,2011,7,5.71,1.8
Tandil,AR,-37.32,-59.13,2011,8,6.82,0.89
Tandil,AR,-37.32,-59.13,2011,9,10.27,1.56
Tandil,AR,-37.32,-59.13,2011,10,12.31,1.01
Tandil,AR,-37.32,-59.13,2011,11,18.33,5.18
Tandil,AR,-37.32,-59.13,2011,12,19.94,2.23
Tandil,AR,-37.32,-59.13,2011,13,13.54,2.26
Tandil,AR,-37.32,-59.13,2012,1,22.92,3.08
Tandil,AR,-37.32,-59.13,2012,2,21.22,4.42
Tandil,AR,-37.32,-59.13,2012,3,16.74,4.45
Tandil,AR,-37.32,-59.13,2012,4,12.89,1.4
Tandil,AR,-37.32,-59.13,2012,5,10.63,3.74
Tandil,AR,-37.32,-59.13,2012,6,6.06,0.42
Tandil,AR,-37.32,-59.13,2012,7,3.54,0.05
Tandil,AR,-37.32,-59.13,2012,8,8.97,8.63
Tandil,AR,-37.32,-59.13,2012,9,10.23,1.43
Tandil,AR,-37.32,-59.13,2012,10,13.54,2.9
Tandil,AR,-37.32,-59.13,2012,11,16.99,3.62
Tandil,AR,-37.32,-59.13,2012,12,19.13,6.14
Tandil,AR,-37.32,-59.13,2012,13,13.55,3.37
Tandil,AR,-37.32,-59.13,2013,1,21.32,1.77
Tandil,AR,-37.32,-59.13,2013,2,20.66,1.34
Tandil,AR,-37.32,-59.13,2013,3,15.44,3.35
Tandil,AR,-37.32,-59.13,2013,4,14.88,4.0
Tandil,AR,-37.32,-59.13,2013,5,9.32,1.65
Tandil,AR,-37.32,-59.13,2013,6,6.45,0.2
Tandil,AR,-37.32,-59.13,2013,7,6.12,1.51
Tandil,AR,-37.32,-59.13,2013,8,6.67,0.19
Tandil,AR,-37.32,-59.13,2013,9,8.83,2.75
Tandil,AR,-37.32,-59.13,2013,10,13.93,2.88
Tandil,AR,-37.32,-59.13,2013,11,16.97,3.28
Tandil,AR,-37.32,-59.13,2013,12,23.0,1.13
Tandil,AR,-37.32,-59.13,2013,13,13.6,2.0
Tandil,AR,-37.32,-59.13,2014,1,22.46,4.88
Tandil,AR,-37.32,-59.13,2014,2,19.12,4.17
Tandil,AR,-37.32,-59.13,2014,3,16.79,3.32
Tandil,AR,-37.32,-59.13,2014,4,12.54,4.38
Tandil,AR,-37.32,-59.13,2014,5,9.69,3.05
Tandil,AR,-37.32,-59.13,2014,6,6.28,1.99
